0 qid:1 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:14 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
0 qid:14 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
0 qid:14 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:14 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:14 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:14 '1:2', '2:1', '3:1', '4:1', '5:0', '6:1'
0 qid:14 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
1 qid:14 '1:2', '2:1', '3:1', '4:1', '5:1', '6:1'
0 qid:15 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:15 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:15 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:15 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:15 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:15 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:15 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:15 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:16 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:16 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:16 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:16 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:16 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:16 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:16 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:16 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:16 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:16 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:16 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:16 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:16 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:16 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:17 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
1 qid:17 '1:2', '2:1', '3:1', '4:1', '5:0', '6:0'
0 qid:17 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:18 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:18 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:18 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:18 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:18 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:18 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:18 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:18 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:18 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:18 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:18 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:18 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:18 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:18 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:18 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:19 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:19 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:20 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:20 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:20 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:20 '1:6', '2:4', '3:1', '4:1', '5:0', '6:1'
0 qid:20 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:20 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:20 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
1 qid:20 '1:6', '2:4', '3:1', '4:1', '5:1', '6:1'
0 qid:20 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:20 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:20 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:20 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:20 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:20 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:20 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:20 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:21 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:22 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:22 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:22 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:22 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:22 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:23 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:23 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:23 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:23 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:23 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:23 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:23 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:23 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:23 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:23 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:23 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:23 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:24 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:25 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:26 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:26 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:26 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:26 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:26 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:26 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:26 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:26 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:26 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:26 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:26 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:26 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:26 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:26 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:26 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:26 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:26 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:27 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:27 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
0 qid:27 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:28 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:28 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:28 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:28 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:28 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:28 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:28 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:28 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:28 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:28 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:28 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:28 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:28 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:28 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:29 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:null', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:null', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:null', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:30 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:31 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:31 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:31 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:31 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:31 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:31 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:31 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:31 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:31 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:31 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:31 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:31 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:31 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:31 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:31 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:31 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:31 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:31 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:31 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:31 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:32 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:32 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:32 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
1 qid:32 '1:2', '2:1', '3:1', '4:1', '5:0', '6:0'
0 qid:32 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:32 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:33 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:33 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:33 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:33 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:33 '1:1', '2:null', '3:0', '4:0', '5:0', '6:0'
0 qid:33 '1:1', '2:null', '3:0', '4:0', '5:0', '6:0'
0 qid:33 '1:1', '2:null', '3:0', '4:0', '5:0', '6:0'
0 qid:33 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:33 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:33 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:33 '1:1', '2:4', '3:1', '4:1', '5:0', '6:1'
0 qid:33 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:33 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:33 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:33 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
1 qid:33 '1:1', '2:4', '3:1', '4:1', '5:1', '6:1'
0 qid:33 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:33 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:34 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:35 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
1 qid:35 '1:2', '2:1', '3:1', '4:1', '5:0', '6:0'
0 qid:35 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:35 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:36 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
0 qid:36 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
0 qid:36 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:36 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
0 qid:36 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:36 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:37 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
